原文,翻譯
abstract,摘要；抽象的
abstract base class,抽象基底類別
abstraction,抽象
access,存取 (win)；取用 (mac)
accessibility,無障礙；協助工具 (win)；輔助功能 (mac)
activate,啟用，啟動
activation,啟用，啟動
active,使用中的；現行的；有效的；啟用的
adapter,介面卡，配接器 (win)；轉接器 (mac)
adaptor,介面卡，配接器 (win)；轉接器 (mac)
add,加入
address,位址，地址
advanced,進階的
aggregation,聚合
ai  artificial intelligence ,人工智慧
algorithm,演算法
allocate,配置
allocator,配置器
annotation,註釋 (win)；註解 (mac)；詮釋 (web)
annotation,註釋
app bundle,應用程式套件組合 (win)；App 套件 (mac)
application,應用；應用程式
apply,套用
approximate,近似
architecture,架構；結構
argument,引數
arity,元數（所需運算元的數量）
array,陣列
artifact,成品 (win/mac)；產出物 (web)
assembly language,組合語言
assert,判斷提示 (win)；宣告 (win/mac)；聲明 (mac)
assertion,判斷提示 (win)；宣告 (win/mac)；聲明 (mac)
assign,指派；（程式設計）賦值
assignment,指派；（程式設計）賦值
assignment operator,指派運算子
asynchronize,非同步
asynchronous,非同步的
asynchronous context manager,非同步情境管理器
asynchronous generator,非同步產生器
asynchronous generator iterator,非同步產生器疊代器
asynchronous iterable,非同步可疊代物件
asynchronous iterator,非同步疊代器
atomic,不可分割的
attribute,屬性
audio,音訊；音效
authenticate,驗證，認證
authentication,驗證，認證
authorize,授權
authorization,授權
autoboxing,自動裝箱
awaitable,可等待物件
background processes,背景程序，背景處理程序
bandwidth,頻寬
base class,基底類別
batch,批次（處理）
binary file,二進位檔案
binary function,二元函式
binary operator,二元運算子
binary search,二元搜尋法
binary tree,二元樹
bind,繫結 (win)；綁定 (mac)
bit,位元
bitrate,位元率
block,封鎖；阻擋
block,（程式碼）區塊
blocker,封鎖程式 (win)；阻擋器 (mac)
boolean,布林
boolean,boolean（布林）
borrowed reference,借用參照
bounce,退回；彈跳
breakpoint,中斷點
build  noun ,構件；版本（號）
build  verb ,建構 (mac)；建置，組建 (win)
build in,內建
bundle  noun ,組合包 (win)；套件 (mac)；套組
bundle  verb ,整合
burn,燒錄
bus,匯流排
byte,位元組
bytecode,位元組碼
bytes like object,類位元組串物件
cache,快取記憶體，快取
call,呼叫
callable,可呼叫物件
callback,回呼
carriage return,回車字元
certificate,憑證
character,字元
check,查看
check box,核取方塊 (win)；註記框 (mac)
checkbox,核取方塊 (win)；註記框 (mac)
child,子- / 下代
cipher,密碼
class,類別
class variable,類別變數
click  vs  tap ,點選 (win)；按一下，點/選按 (mac)
client side,用戶端
clipboard,剪貼簿 (win)；剪貼板 (mac)
clone,複製
closure variable,閉包變數
cloud computing,雲端運算
cohesion,內聚
collaborate,（協同）合作
collaboration,（協同）合作
combo box,組合方塊；下拉式方塊 (win)
come with,隨附
command,指令
command line,命令列
comment,留言
comment,註解，註釋
commit,提交
communication,通訊
community,社群
compatibility,相容性
compatible,相容的
compile time,編譯期
compile,編譯
compilation,編譯
compiler,編譯器
complex number,複數
component,組件；元件
composition,組合
compress,壓縮
concurrency,並行性，並行
concurrent,並行的；同時的
condition,條件
configuration,配置；設定 (mac)；組態 (win)
connect,連接；（網路、資料庫）連線
connection,連接；（網路、資料庫）連線
constant,常數
constraint,約束；限制
constructor,建構子，建構式，建構函式
container,容器
context,背景（關係）；環境；上下文；内容
context,情境
context management protocol,情境管理協定
context manager,情境管理器
context variable,情境變數
contiguous,連續的
continuous delivery,持續交付
continuous deployment,持續部署
continuous integration,持續整合
contributor,貢獻者
control,控制元件，控制項
copy,複製 (win)；拷貝 (mac)
coroutine,協程
coroutine,協程，協同程式
coroutine function,協程函式
coupling,耦合
crash,當機 (win/mac)；毀損 (win)
create,建立
cursor,游標
custom,自訂
data,資料
data link layer,資料連結層
data structure,資料結構
database,資料庫
database schema,資料庫綱要 (mac)；資料庫結構描述 (win)
deadlock,死結；鎖死
debug,除錯 (win/mac)；偵錯 (win)
debugger,除錯器
declare,宣告，聲明
declaration,宣告，聲明
decorator,裝飾器
default,預設
definition,定義；解析度
delegate,委派
delegation,委派
dependency,相依性；依賴關係
deprecated,已棄用
derived class,衍生類別
descriptor,描述器
design pattern,設計模式
destructor,解構式，解構函式
detect,偵測
detection,偵測
device,裝置
dialog,對話方塊 (win)；對話框 (mac)
dictionary,dictionary（字典）
dictionary,字典
dictionary comprehension,字典綜合運算
dictionary view,字典檢視
digital,數位的；數位化
digital certificate,數位憑證
digital signature,數位簽章
directory,目錄
disk,碟
disk image,磁碟映像檔
dispatch,分派
distribute,分發；分配；分散
distribution,分發；分配；分散
distributed,分散式
distribution,發布/發行（版本）；發行套件
docstring,說明字串
document,文件
domain,網域
driver,驅動程式
drop down list,下拉式清單
drop down menu,下拉式功能表 (win)；下拉式選單 (mac)
drop down,下拉式選單
dropdown  noun ,下拉式選單
drop down,下拉
dropdown  verb ,下拉
duck typing,鴨子型別
dynamic binding,動態繫結，動態連結，動態綁定
element,元素；元件
element,元素
email,電子郵件
e mail,電子郵件
enable,啟用
encapsulation,封裝
enter,確認；進入
entity,實體
enumeration,列舉
equal,相等的
equality,相等性，相等
escape code,跳脫碼，逸出碼，轉義碼
evaluate,給值 / 計算
event,事件
exception,例外
explicit,明確的 (win)；顯式 (mac)
export,匯出
expression,運算式
expression,運算式 (win)；表示式 (mac)；表達式
extension,副檔名
extension,擴充（程式、功能）；擴充功能 (win)；延伸功能 (mac)
extension module,擴充模組
f string,f 字串
feature,特色，特點，特徵
feature  vs  function ,（特殊的）功能
feedback,回饋
field,欄位；域
file,檔案
file object,檔案物件
file system,檔案系統
file like object,類檔案物件
filesystem encoding and error handler,檔案系統編碼和錯誤處理函式
filter,過濾器
finalizing   finalize,最終化
find,尋找
finder,尋檢器
firmware,韌體
flag,旗標
flash memory,快閃記憶體
float,float（浮點數）
