原文,翻譯
32 bit,32 位元
64 bit,64 位元
__call__,__call__
__contains__,__contains__
__del__,__del__
__delitem__,__delitem__
__enter__,__enter__
__exit__,__exit__
__getitem__,__getitem__
__init__,__init__
__iter__,__iter__
__len__,__len__
__new__,__new__
__next__,__next__
__repr__,__repr__
__setitem__,__setitem__
__str__,__str__
abstract,摘要；抽象的
abstract base class,抽象基底類別
abstraction,抽象
access,存取（勿用「訪問」）
accessibility,無障礙；協助工具 (win)；輔助功能 (mac)
activate,啟用，啟動
activation,啟用，啟動
active,使用中的；現行的；有效的；啟用的
adapter,介面卡，配接器 (win)；轉接器 (mac)
adaptive,適應性
adaptor,介面卡，配接器 (win)；轉接器 (mac)
add,加入
add on,增益集
addon add on,附加元件
address,位址，地址
address n,位址
address v,定址
advanced,進階的
advanced settings,進階設定
aggregation,聚合
ai artificial intelligence,人工智慧
algorithm,演算法
allocate,配置
allocator,配置器
and,and
annotation,註釋
antivirus software,防毒軟體
api,API
app bundle,應用程式套件組合 (win)；App 套件 (mac)
application,應用；應用程式
apply,套用
approximate,近似
architecture,架構；結構
argument,引數
arity,元數（所需運算元的數量）
array,陣列
artifact,成品 (win/mac)；產出物 (web)
as,as
assembler,組譯器
assembly language,組合語言
assert,assert
assertion,斷言
assertionerror,AssertionError
assign,指派；（程式設計）賦值
assignment,指派；（程式設計）賦值
assignment operator,指派運算子
async,async
asynchronize,非同步
asynchronous,非同步的
asynchronous context manager,非同步情境管理器
asynchronous generator,非同步產生器
asynchronous generator iterator,非同步產生器疊代器
asynchronous iterable,非同步可疊代物件
asynchronous iterator,非同步疊代器
asynchronous programming,非同步程式設計
asyncio,asyncio
atomic,不可分割的
atomic operation,最小操作
attribute,屬性
attributeerror,AttributeError
audio,音訊；音效
authenticate,驗證，認證
authentication,驗證，認證
authorization,授權
authorize,授權
autoboxing,自動裝箱
await,await
awaitable,可等待物件
background processes,背景程序，背景處理程序
bandwidth,頻寬
base class,基底類別
base station,基地台  基地站
baseband processor,基頻處理器
batch,批次（處理）
binary,二進位
binary file,二進位檔案
binary function,二元函式
binary operator,二元運算子
binary search,二元搜尋法
binary tree,二元樹
bind,繫結 (win)；綁定 (mac)
binding,繫結
bit,位元
bitmap,點陣圖
bitrate,位元率
block,封鎖；阻擋
blocker,封鎖程式 (win)；阻擋器 (mac)
bool,布林值
boolean,boolean、布林
borrowed reference,借用參照
bounce,退回；彈跳
break,break
breakpoint,中斷點
broadband,寬頻
bubble sort,泡沫排序
build,建構  建置
build in,內建
build noun,構件；版本（號）
build system,建置系統
build verb,建構 (mac)；建置，組建 (win)
bundle noun,組合包 (win)；套件 (mac)；套組
bundle verb,整合
burn,燒錄
bus,匯流排
byte,位元組
bytecode,位元組碼
bytes like object,類位元組串物件
cache,快取記憶體，快取
call,呼叫（invoke 可譯為「叫用」、「呼叫」）
callable,可呼叫物件
callback,回呼
carriage return,回車字元
certificate,憑證
character,字元
check,查看
check box,核取方塊 (win)；註記框 (mac)
checkbox,核取方塊 (win)；註記框 (mac)
child,子代、下代
chip,晶片
cipher,密碼
circular reference,循環參照
class,類別
class variable,類別變數
cli,CLI
click vs tap,點選 (win)；按一下，點/選按 (mac)
client,用戶端
client side,用戶端
clipboard,剪貼簿 (win)；剪貼板 (mac)
clone,複製
closure,閉包
closure variable,閉包變數
cloud computing,雲端運算
cohesion,內聚
collaborate,（協同）合作
collaboration,（協同）合作
column,行
combo box,組合方塊；下拉式方塊 (win)
come with,隨附
command,指令
command line,命令列
command line interface,命令列
command prompt,命令提示字元
comment,留言
commit,提交
communication,通訊
community,社群
compatibility,相容性
compatible,相容的
compilation,編譯
compile,編譯
compile time,編譯時期
compiler,編譯器
complex,複數
complex number,複數
component,組件；元件
composition,組合
compress,壓縮
concurrency,並行性，並行
concurrent,並行的；同時的
condition,條件
configuration,配置；設定 (mac)；組態 (win)
configuration configure,組態
connect,連接；（網路、資料庫）連線
connection,連接；（網路、資料庫）連線
connectionerror,ConnectionError
constant,常數
constraint,約束；限制
constructor,建構子，建構式，建構函式
container,容器
context,情境
context management protocol,情境管理協定
context manager,情境管理器
context variable,情境變數
contiguous,連續的
continue,continue
continuous delivery,持續交付
continuous deployment,持續部署
continuous integration,持續整合
contributor,貢獻者
control,控制元件，控制項
copy,複製 (win)；拷貝 (mac)
core dump,記憶體傾印
coroutine,協程
coroutine function,協程函式
coupling,耦合
coverage,覆蓋率
crash,當機 (win/mac)；毀損 (win)
create,建立
csv,CSV
current,目前（勿用「當前」）
cursor,游標
custom,自訂
customize,自訂  客製化
daemon,常駐程式  系統服務  守護行程
dashboard,儀表板
data,資料
data link layer,資料連結層
data structure,資料結構
data type,（資料）型別
database,資料庫
database schema,資料庫綱要 (mac)；資料庫結構描述 (win)
deadlock,死結；鎖死
debug,除錯 (win/mac)；偵錯 (win)
debugger,除錯器
debugging,除錯
declaration,宣告，聲明
declare,宣告，聲明
decorator,裝飾器
def,def
default,預設
definition,定義；解析度
del,del
delegate,委派
delegation,委派
dependency,相依性；依賴關係
deprecated,已棄用
derived class,衍生類別
descriptor,描述器
design pattern,設計模式
destructor,解構式，解構函式
detect,偵測
detection,偵測
device,裝置
dialog,對話方塊 (win)；對話框 (mac)
dict,字典
dictionary,字典
dictionary comprehension,字典綜合運算
dictionary view,字典檢視
digital,數位的；數位化
digital certificate,數位憑證
digital signature,數位簽章
directory,目錄
disable,停用
disk,碟
disk image,磁碟映像檔
dispatch,分派
distribute,分發；分配；分散
distributed,分散式
distribution,分發；分配；分散
docstring,說明字串
document,文件（勿用「文檔」）
domain,網域
driver,驅動程式
drop down,下拉式選單
drop down list,下拉式清單
drop down menu,下拉式功能表 (win)；下拉式選單 (mac)
dropdown noun,下拉式選單
dropdown verb,下拉
duck typing,鴨子型別
dunder method,雙底線方法
dynamic binding,動態繫結，動態連結，動態綁定
e mail,電子郵件
element,元素
elif,elif
else,else
email,電子郵件
enable,啟用
encapsulation,封裝
enter,確認；進入
entity,實體
enum,列舉
enumeration,列舉
equal,相等的
equality,相等性，相等
escape code,跳脫碼，逸出碼，轉義碼
evaluate,給值 / 計算
event,事件
event loop,事件迴圈
except,except
exception,例外
execution,執行
explicit,明確的 (win)；顯式 (mac)
export,匯出
expression,運算式
extension,擴充（程式、功能）；擴充功能 (win)；延伸功能 (mac)
extension module,擴充模組
f string,f 字串
false,False
feature,特色，特點，特徵
feature vs function,（特殊的）功能
feedback,回饋
field,欄位；域
file,檔案
file extension,副檔名
file like object,類檔案物件
file object,檔案物件
file system,檔案系統
filenotfounderror,FileNotFoundError
filesystem encoding and error handler,檔案系統編碼和錯誤處理函式
filter,過濾器
finalizing finalize,最終化
finally,finally
find,尋找
finder,尋檢器
firmware,韌體
fixture,fixture
flag,旗標
flash memory,快閃記憶體
float,浮點數
floor division,向下取整除法
flush,排清，清除
folder,資料夾 (win)；檔案夾 (mac)
font,字型 (win)；字體 (mac)
font size,字型大小
for,for
form,表單
format noun,格式
format verb,格式化
forward,轉發，轉送，轉寄
fragment,片段
frame,影格，畫面；框架
frame rate,影格率  圖禎率  畫面更新率
frame rate fps frames per second,影格率，畫面更新率
framework,框架
free threading,自由執行緒
free variable,自由變數
from,from
frozen,（軟體或影片）畫面定格；凍結，鎖定
full screen,全螢幕
fullscreen,全螢幕
function,函式
function annotation,函式註釋
function vs feature,（一般的）功能
functionality,功能
future,future
game,遊戲
garbage collection,垃圾回收
gateway,閘道器
general,一般的
generate,產生，生成
generator,產生器
generator expression,產生器運算式
generator iterator,產生器疊代器
generatorexit,GeneratorExit
generic,通用的
generic function,泛型函式
generic type,泛型型別
generics,泛型
global,global
global interpreter lock,全域直譯器鎖
global settings,全域設定
global variable,全域變數
graph,圖
group box,群組方塊
gui,GUI
handle,控制代碼
handler,處理常式，處理程式，處理器
hardcore,硬派
hardware,硬體
hash,雜湊
hash based pyc,雜湊架構的 pyc
hash table,雜湊表
hashable,可雜湊
hdd,硬碟
header file,標頭檔
heap,堆積
help,使用說明；說明；幫助
helper,幫助函式、輔助函式
hierarchy,階層
high definition,高解析度，高畫質
highlight,凸顯標示  醒目標示  色彩突顯  標明
home folder,主資料夾 (win)；個人專屬檔案夾 (mac)
home page,首頁，主頁
host file,主機檔案，host 檔案
hover,暫留
http,HTTP
icon,圖示 (win) 圖像 (mac)
ide,整合式開發環境
identifier,識別字
identity,識別性
idle,IDLE
if,if
image,影像；圖像，圖片；映像檔
immortal,不滅
immutable,不可變
implement,實作
implement implementation,實作
implementation,實作（品）
implicit,隱含的 (win)；隱式 (mac)
import,引入
import path,引入路徑
import time,引入時期
importer,引入器
importerror,ImportError
importing,引入
in,in
indent,縮排
indentationerror,IndentationError
index,索引
indexerror,IndexError
info,資訊
information,資訊
information technology,資訊科技  IT
inheritance,繼承
initialization,初始化
inline,行內；內嵌
instance,實例
instance variable,實例變數
int,整數
integrate,整合
integrated,整合式，整合的
integrity,完整性
interact,互動
interaction,互動
interactive,互動式
interface,介面
internal storage,內部儲存
internationalization i18n,國際化
internet,網際網路
interpretation,直譯
interpreted,直譯式
interpreter,直譯器
interpreter shutdown,直譯器關閉
introduce,介紹
invoke,叫用、呼叫（勿譯為「調用」）
is,is
iterable,可疊代
iterate,疊代
iteration,疊代
iterator,疊代器
json,JSON
kernel,核心
key,金鑰，密鑰
key function,鍵函式
keybind,快速鍵
keyboardinterrupt,KeyboardInterrupt
keyerror,KeyError
keyword argument,關鍵字引數
kit,套件
lag,延遲
lambda,lambda
lan,LAN  區域網路
layout,布局，配置
lazy loading,惰性載入；消極式載入；延遲載入；懶載入
level,階 / 層級 / 層
lexer,詞法分析器
lexical analysis,詞法分析
lexical analyzer,詞法分析器
library,函式庫
link,連結
link time,連結期
linked list,連結串列
linker,連結器
list,串列
list comprehension,串列綜合運算
listener,監聽器
literal constant,字面常數，字面常值
literals,字面值，定數，常值
load,載入
load time,載入期
loader,載入器
local,區域
local variable,區域變數
locale encoding,區域編碼
localization l10n,在地化
lock,鎖定
log,記錄
log in,登入
log out,登出
login,登入
logout,登出
loop,迴圈
macro,巨集
magic method,魔術方法
map,對應；映射
mapping,對映
match,配對；符合；配合；比對；匹配
memory,記憶體
memory ram,記憶體  主（要）記憶體
memoryerror,MemoryError
menu,選單；功能表
merge sort,合併排序
message,訊息
meta path finder,元路徑尋檢器
metaclass,元類別
metadata,中繼資料 (win) 後設資料 (mac) 詮釋資料
method,方法
method resolution order,方法解析順序
middleware,中介層，中介軟體
mobile,行動
mock,mock
moderate,審核
moderation,審核
modifier,修飾子，修飾詞
modulation,調變
module,模組
module spec,模組規格
monomorphism,單型
motherboard,主機板
